月,企業名,業種,案件数,依頼キーワード,エリア
2000-01,三菱電機,電機,3,環境,近畿
2000-01,日立製作所,電機,2,ロボット,九州
2000-02,パナソニック,製造,5,ロボット,北海道
2000-03,富士通,IT,5,ロボット,東北
2000-03,ホンダ,製造,4,環境,近畿
2000-04,デンソー,製造,4,半導体,北陸
2000-04,富士通,電機,5,AI,東北
2000-04,三菱電機,IT,4,AI,四国
2000-05,ソニー,IT,3,ロボット,近畿
2000-05,トヨタ自動車,IT,2,バイオ,北関東
2000-05,富士通,自動車,1,ロボット,東北
2000-06,トヨタ自動車,自動車,2,半導体,九州
2000-06,トヨタ自動車,エレクトロニクス,1,バイオ,東北
2000-06,ソニー,エレクトロニクス,1,ロボット,海外
2000-07,東京エレクトロン,電機,3,半導体,四国
2000-08,パナソニック,IT,1,AI,北海道
2000-08,東京エレクトロン,自動車,1,半導体,北関東
2000-09,日立製作所,エレクトロニクス,1,環境,東北
2000-09,三菱電機,エレクトロニクス,4,ロボット,海外
2000-09,ホンダ,製造,2,AI,北海道
2000-10,ソニー,エレクトロニクス,5,環境,九州
2000-10,トヨタ自動車,自動車,2,半導体,海外
2000-10,トヨタ自動車,IT,5,バイオ,関東
2000-11,三菱電機,電機,5,環境,東海
2000-12,三菱電機,エレクトロニクス,4,AI,北関東
2000-12,パナソニック,エレクトロニクス,5,AI,九州
2000-12,パナソニック,自動車,3,半導体,北海道
2001-01,東京エレクトロン,製造,4,バイオ,北関東
2001-01,東京エレクトロン,自動車,2,ロボット,関東
2001-01,キヤノン,製造,4,バイオ,北陸
2001-02,ホンダ,製造,2,環境,四国
2001-02,パナソニック,製造,5,AI,四国
2001-03,三菱電機,エレクトロニクス,3,半導体,中国
2001-03,三菱電機,IT,2,半導体,北関東
2001-04,富士通,電機,3,ロボット,北陸
2001-04,キヤノン,IT,2,環境,北陸
2001-05,パナソニック,自動車,2,ロボット,関東
2001-06,キヤノン,IT,4,環境,東北
2001-07,日立製作所,IT,3,ロボット,北陸
2001-07,富士通,自動車,4,バイオ,中国
2001-08,パナソニック,IT,2,AI,北関東
2001-08,キヤノン,IT,1,AI,北海道
2001-08,トヨタ自動車,自動車,5,環境,四国
2001-09,デンソー,自動車,1,環境,海外
2001-09,富士通,IT,5,環境,関東
2001-09,三菱電機,電機,4,環境,近畿
2001-10,トヨタ自動車,自動車,5,バイオ,九州
2001-10,ホンダ,IT,4,AI,四国
2001-11,デンソー,自動車,1,バイオ,北関東
2001-11,トヨタ自動車,電機,2,ロボット,海外
2001-11,ホンダ,電機,3,半導体,九州
2001-12,ホンダ,電機,2,半導体,北海道
2002-01,ソニー,エレクトロニクス,5,バイオ,北海道
2002-01,ソニー,エレクトロニクス,3,AI,関東
2002-01,富士通,自動車,3,半導体,四国
2002-02,ソニー,エレクトロニクス,2,バイオ,中国
2002-02,パナソニック,自動車,1,ロボット,北関東
2002-03,東京エレクトロン,自動車,4,環境,北関東
2002-03,パナソニック,IT,4,バイオ,海外
2002-04,富士通,自動車,2,AI,東海
2002-05,東京エレクトロン,IT,1,バイオ,近畿
2002-05,ホンダ,IT,5,環境,近畿
2002-06,ソニー,エレクトロニクス,3,AI,北海道
2002-06,トヨタ自動車,製造,5,環境,東海
2002-06,パナソニック,エレクトロニクス,2,半導体,北陸
2002-07,東京エレクトロン,自動車,5,バイオ,北関東
2002-07,富士通,IT,3,バイオ,関東
2002-07,富士通,電機,3,ロボット,北関東
2002-08,日立製作所,自動車,3,ロボット,四国
2002-09,トヨタ自動車,エレクトロニクス,1,環境,四国
2002-09,パナソニック,IT,1,AI,九州
2002-10,三菱電機,IT,2,環境,中国
2002-10,日立製作所,IT,3,AI,近畿
2002-11,デンソー,エレクトロニクス,5,ロボット,東海
2002-11,デンソー,自動車,2,半導体,北陸
2002-12,トヨタ自動車,製造,2,環境,東海
2002-12,デンソー,製造,4,バイオ,北陸
2002-12,デンソー,IT,2,バイオ,東海
2003-01,トヨタ自動車,エレクトロニクス,5,AI,中国
2003-02,日立製作所,電機,2,環境,九州
2003-03,ソニー,IT,4,ロボット,北陸
2003-04,キヤノン,電機,2,環境,東北
2003-04,キヤノン,製造,1,AI,海外
2003-05,キヤノン,エレクトロニクス,3,半導体,近畿
2003-05,ソニー,IT,1,バイオ,九州
2003-06,三菱電機,製造,1,バイオ,四国
2003-06,トヨタ自動車,エレクトロニクス,1,AI,東北
2003-07,デンソー,自動車,5,環境,海外
2003-07,ソニー,エレクトロニクス,2,AI,四国
2003-07,ホンダ,電機,5,バイオ,東北
2003-08,日立製作所,電機,5,AI,北関東
2003-08,デンソー,自動車,1,環境,東北
2003-09,富士通,IT,2,半導体,四国
2003-09,ソニー,製造,3,環境,北陸
2003-10,富士通,エレクトロニクス,2,半導体,東北
2003-10,日立製作所,エレクトロニクス,4,環境,海外
2003-10,東京エレクトロン,電機,3,バイオ,四国
2003-11,トヨタ自動車,電機,3,AI,北関東
2003-12,キヤノン,IT,4,環境,関東
2003-12,ソニー,自動車,4,AI,近畿
2004-01,日立製作所,エレクトロニクス,5,ロボット,近畿
2004-02,パナソニック,エレクトロニクス,2,半導体,東海
2004-02,富士通,電機,3,環境,東北
2004-03,富士通,電機,2,ロボット,近畿
2004-03,パナソニック,IT,4,AI,北関東
2004-04,富士通,エレクトロニクス,3,環境,近畿
2004-04,トヨタ自動車,電機,4,環境,関東
2004-04,ホンダ,エレクトロニクス,2,半導体,九州
2004-05,富士通,自動車,4,AI,北海道
2004-05,トヨタ自動車,自動車,1,AI,東北
2004-05,パナソニック,エレクトロニクス,1,ロボット,東北
2004-06,ホンダ,電機,4,AI,東海
2004-07,パナソニック,自動車,1,半導体,北海道
2004-08,富士通,電機,1,ロボット,四国
2004-09,ホンダ,自動車,1,ロボット,中国
2004-09,ホンダ,エレクトロニクス,4,環境,関東
2004-10,東京エレクトロン,自動車,3,バイオ,東北
2004-11,ソニー,電機,5,AI,北海道
2004-11,ホンダ,電機,5,バイオ,中国
2004-11,富士通,自動車,3,AI,海外
2004-12,東京エレクトロン,IT,2,ロボット,海外
2004-12,東京エレクトロン,エレクトロニクス,5,環境,関東
2005-01,ホンダ,電機,3,バイオ,九州
2005-01,ホンダ,エレクトロニクス,4,バイオ,海外
2005-01,キヤノン,電機,5,バイオ,北関東
2005-02,ホンダ,エレクトロニクス,5,半導体,北関東
2005-02,富士通,電機,3,ロボット,東海
2005-02,ホンダ,IT,3,バイオ,近畿
2005-03,キヤノン,電機,3,AI,近畿
2005-03,東京エレクトロン,エレクトロニクス,4,AI,東海
2005-04,トヨタ自動車,製造,2,半導体,関東
2005-04,日立製作所,IT,2,半導体,東海
2005-04,デンソー,電機,2,環境,東海
2005-05,富士通,電機,1,ロボット,四国
2005-05,ホンダ,電機,4,半導体,中国
2005-05,富士通,製造,5,半導体,四国
2005-06,日立製作所,エレクトロニクス,2,ロボット,中国
2005-07,ホンダ,IT,5,環境,中国
2005-07,キヤノン,自動車,2,AI,四国
2005-08,ホンダ,自動車,1,ロボット,東海
2005-08,デンソー,電機,4,環境,北海道
2005-09,三菱電機,電機,1,ロボット,九州
2005-10,ソニー,電機,5,環境,北海道
2005-10,デンソー,製造,4,バイオ,北関東
2005-11,富士通,電機,1,バイオ,近畿
2005-11,トヨタ自動車,製造,4,半導体,海外
2005-11,富士通,製造,1,バイオ,四国
2005-12,パナソニック,IT,1,半導体,東北
2005-12,ソニー,エレクトロニクス,2,半導体,中国
2005-12,ソニー,IT,5,バイオ,海外
2006-01,日立製作所,IT,3,ロボット,九州
2006-01,富士通,製造,5,AI,四国
2006-01,トヨタ自動車,IT,4,バイオ,関東
2006-02,デンソー,製造,3,環境,九州
2006-03,トヨタ自動車,電機,3,AI,近畿
2006-03,富士通,製造,2,AI,海外
2006-03,デンソー,エレクトロニクス,5,環境,九州
2006-04,日立製作所,電機,3,ロボット,東北
2006-05,デンソー,電機,3,半導体,四国
2006-05,東京エレクトロン,電機,1,ロボット,北海道
2006-06,ソニー,製造,5,バイオ,四国
2006-06,日立製作所,エレクトロニクス,3,バイオ,近畿
2006-06,ホンダ,電機,1,AI,東北
2006-07,デンソー,エレクトロニクス,4,AI,北陸
2006-08,トヨタ自動車,製造,3,AI,中国
2006-09,デンソー,エレクトロニクス,4,バイオ,東北
2006-09,キヤノン,電機,2,環境,関東
2006-09,ホンダ,エレクトロニクス,1,環境,海外
2006-10,パナソニック,電機,2,半導体,近畿
2006-11,ホンダ,製造,4,半導体,北関東
2006-11,富士通,エレクトロニクス,1,ロボット,九州
2006-11,三菱電機,エレクトロニクス,1,半導体,海外
2006-12,日立製作所,自動車,2,環境,中国
2006-12,ソニー,自動車,2,AI,四国
2006-12,三菱電機,製造,1,環境,北関東
2007-01,ホンダ,エレクトロニクス,4,ロボット,九州
2007-01,トヨタ自動車,製造,2,バイオ,九州
2007-02,日立製作所,製造,4,AI,海外
2007-02,キヤノン,自動車,5,ロボット,海外
2007-03,富士通,エレクトロニクス,4,AI,東北
2007-03,キヤノン,IT,4,半導体,九州
2007-04,ソニー,電機,3,ロボット,東海
2007-05,トヨタ自動車,IT,1,環境,中国
2007-06,ソニー,エレクトロニクス,3,半導体,北海道
2007-06,デンソー,エレクトロニクス,1,半導体,東北
2007-06,キヤノン,自動車,4,ロボット,中国
2007-07,キヤノン,エレクトロニクス,5,半導体,東北
2007-07,ホンダ,製造,3,半導体,北陸
2007-07,富士通,IT,2,半導体,九州
2007-08,日立製作所,電機,2,AI,近畿
2007-09,ソニー,IT,5,AI,東海
2007-09,ソニー,電機,4,AI,四国
2007-10,パナソニック,エレクトロニクス,2,AI,東海
2007-11,キヤノン,自動車,3,AI,中国
2007-11,東京エレクトロン,エレクトロニクス,3,AI,北海道
2007-12,トヨタ自動車,IT,3,ロボット,中国
2007-12,三菱電機,IT,5,環境,九州
2008-01,ソニー,IT,3,ロボット,九州
2008-01,キヤノン,製造,5,AI,九州
2008-01,パナソニック,IT,2,環境,北関東
2008-02,富士通,エレクトロニクス,5,環境,中国
2008-03,キヤノン,電機,3,AI,九州
2008-04,ホンダ,IT,5,バイオ,海外
2008-04,トヨタ自動車,エレクトロニクス,3,バイオ,九州
2008-05,ホンダ,自動車,4,AI,東北
2008-05,ホンダ,電機,3,環境,北陸
2008-05,キヤノン,電機,1,バイオ,中国
2008-06,トヨタ自動車,電機,5,環境,北関東
2008-06,富士通,自動車,1,AI,九州
2008-06,トヨタ自動車,電機,3,AI,中国
2008-07,パナソニック,IT,5,環境,北陸
2008-07,パナソニック,エレクトロニクス,1,バイオ,東海
2008-07,ソニー,製造,5,環境,北海道
2008-08,日立製作所,製造,4,環境,近畿
2008-08,富士通,自動車,1,AI,四国
2008-08,ホンダ,自動車,5,ロボット,関東
2008-09,パナソニック,製造,5,バイオ,近畿
2008-09,デンソー,エレクトロニクス,1,環境,四国
2008-09,ホンダ,IT,3,半導体,東海
2008-10,キヤノン,エレクトロニクス,4,環境,北関東
2008-11,三菱電機,電機,5,バイオ,北海道
2008-11,富士通,電機,2,環境,四国
2008-12,キヤノン,自動車,1,AI,四国
2008-12,キヤノン,IT,3,AI,北陸
2009-01,三菱電機,電機,3,バイオ,東北
2009-01,東京エレクトロン,エレクトロニクス,1,バイオ,四国
2009-01,トヨタ自動車,IT,2,環境,海外
2009-02,三菱電機,IT,1,ロボット,北関東
2009-02,トヨタ自動車,IT,3,環境,近畿
2009-02,三菱電機,エレクトロニクス,3,半導体,四国
2009-03,キヤノン,電機,3,環境,東北
2009-03,キヤノン,エレクトロニクス,5,バイオ,北陸
2009-04,キヤノン,エレクトロニクス,4,AI,中国
2009-04,パナソニック,エレクトロニクス,1,環境,北関東
2009-05,ホンダ,IT,4,環境,北海道
2009-05,三菱電機,製造,5,バイオ,東北
2009-06,東京エレクトロン,電機,1,バイオ,東海
2009-06,東京エレクトロン,自動車,4,半導体,中国
2009-07,富士通,電機,4,AI,四国
2009-08,富士通,エレクトロニクス,4,環境,四国
2009-09,ホンダ,エレクトロニクス,4,環境,九州
2009-09,キヤノン,IT,2,バイオ,海外
2009-09,パナソニック,製造,4,AI,北陸
2009-10,パナソニック,エレクトロニクス,1,AI,北海道
2009-11,トヨタ自動車,製造,5,AI,北関東
2009-12,パナソニック,エレクトロニクス,3,バイオ,海外
2009-12,ソニー,電機,1,ロボット,東海
2010-01,パナソニック,IT,3,環境,九州
2010-01,日立製作所,製造,3,バイオ,関東
2010-02,キヤノン,電機,3,AI,中国
2010-02,ソニー,エレクトロニクス,2,バイオ,海外
2010-03,トヨタ自動車,自動車,4,AI,北陸
2010-03,トヨタ自動車,IT,2,環境,北海道
2010-03,三菱電機,電機,5,環境,東海
2010-04,富士通,IT,2,ロボット,北海道
2010-05,トヨタ自動車,製造,5,環境,北海道
2010-05,パナソニック,エレクトロニクス,4,ロボット,北海道
2010-06,トヨタ自動車,IT,1,ロボット,北海道
2010-06,ホンダ,自動車,4,半導体,関東
2010-07,富士通,製造,4,バイオ,北関東
2010-07,三菱電機,自動車,2,半導体,四国
2010-07,ソニー,自動車,4,AI,東海
2010-08,パナソニック,エレクトロニクス,5,AI,中国
2010-09,三菱電機,自動車,3,AI,北陸
2010-10,三菱電機,製造,5,環境,北関東
2010-10,三菱電機,電機,3,環境,北海道
2010-11,パナソニック,エレクトロニクス,4,バイオ,海外
2010-11,キヤノン,IT,4,ロボット,四国
2010-11,富士通,電機,1,環境,九州
2010-12,富士通,IT,5,半導体,関東
2011-01,デンソー,IT,4,半導体,北関東
2011-01,パナソニック,製造,1,バイオ,関東
2011-02,トヨタ自動車,IT,1,バイオ,東海
2011-02,デンソー,エレクトロニクス,1,バイオ,四国
2011-03,パナソニック,自動車,1,半導体,中国
2011-03,パナソニック,製造,3,バイオ,関東
2011-04,ホンダ,電機,1,バイオ,海外
2011-04,キヤノン,自動車,4,AI,九州
2011-04,富士通,製造,3,ロボット,北陸
2011-05,日立製作所,電機,1,ロボット,北陸
2011-05,ホンダ,エレクトロニクス,4,ロボット,東北
2011-05,日立製作所,製造,1,AI,九州
2011-05,東京エレクトロン,エレクトロニクス,2,バイオ,海外
2011-06,日立製作所,IT,3,AI,関東
2011-06,パナソニック,自動車,1,バイオ,九州
2011-06,日立製作所,電機,5,バイオ,九州
2011-06,ソニー,電機,3,バイオ,海外
2011-07,キヤノン,エレクトロニクス,3,ロボット,東北
2011-07,トヨタ自動車,電機,3,ロボット,中国
2011-07,パナソニック,IT,5,バイオ,北海道
2011-08,日立製作所,自動車,2,半導体,近畿
2011-08,富士通,自動車,1,ロボット,中国
2011-09,キヤノン,エレクトロニクス,4,バイオ,北陸
2011-09,東京エレクトロン,製造,3,半導体,東北
2011-09,パナソニック,電機,1,環境,九州
2011-09,東京エレクトロン,自動車,3,AI,近畿
2011-09,富士通,自動車,3,AI,北関東
2011-09,パナソニック,製造,5,環境,東北
2011-10,キヤノン,電機,3,バイオ,九州
2011-10,デンソー,製造,5,AI,九州
2011-10,パナソニック,製造,1,AI,東海
2011-10,パナソニック,自動車,5,ロボット,東海
2011-11,ホンダ,IT,1,バイオ,北関東
2011-11,デンソー,エレクトロニクス,3,ロボット,北海道
2011-11,ホンダ,IT,5,バイオ,海外
2011-11,ソニー,電機,4,環境,北関東
2011-11,キヤノン,エレクトロニクス,4,半導体,北関東
2011-11,キヤノン,IT,5,半導体,関東
2011-12,ソニー,製造,3,AI,北関東
2011-12,東京エレクトロン,エレクトロニクス,2,半導体,九州
2011-12,東京エレクトロン,製造,5,環境,北海道
2011-12,パナソニック,IT,1,ロボット,九州
2012-01,ホンダ,エレクトロニクス,1,ロボット,関東
2012-01,ホンダ,自動車,3,ロボット,北陸
2012-02,トヨタ自動車,エレクトロニクス,1,ロボット,海外
2012-02,三菱電機,エレクトロニクス,3,ロボット,北海道
2012-03,キヤノン,電機,1,ロボット,関東
2012-03,富士通,電機,1,環境,北海道
2012-03,ソニー,IT,5,半導体,北陸
2012-04,ホンダ,電機,3,バイオ,海外
2012-04,デンソー,自動車,4,半導体,北関東
2012-04,キヤノン,自動車,5,AI,九州
2012-04,日立製作所,電機,3,AI,海外
