月,研究者名,分野,希望予算,希望職位,アクセス数,マッチング数
2000-01,研究者37,材料工学,100,特任研究員,67,5
2000-01,研究者86,エネルギー,200,教授,410,12
2000-01,研究者72,ロボティクス,1000,講師,108,9
2000-01,研究者83,AI,300,講師,463,14
2000-01,研究者31,バイオ,300,助教,181,17
2000-01,研究者75,環境科学,700,准教授,163,17
2000-01,研究者72,エネルギー,200,教授,280,13
2000-01,研究者40,環境科学,700,特任研究員,496,2
2000-01,研究者38,環境科学,200,助教,366,15
2000-01,研究者84,環境科学,100,講師,64,2
2000-01,研究者76,材料工学,500,准教授,496,13
2000-01,研究者91,バイオ,200,准教授,257,19
2000-01,研究者43,AI,500,講師,478,14
2000-01,研究者55,エネルギー,1000,特任研究員,355,18
2000-01,研究者54,エネルギー,500,准教授,365,7
2000-01,研究者60,ロボティクス,500,講師,183,3
2000-01,研究者95,AI,1000,特任研究員,14,5
2000-01,研究者59,AI,200,教授,479,0
2000-01,研究者52,環境科学,500,教授,18,4
2000-01,研究者11,ロボティクス,700,特任研究員,102,0
2000-01,研究者34,バイオ,200,講師,62,10
2000-01,研究者81,環境科学,200,教授,459,14
2000-01,研究者75,ロボティクス,700,教授,122,5
2000-01,研究者16,材料工学,700,教授,250,5
2000-01,研究者92,材料工学,300,講師,423,5
2000-01,研究者50,材料工学,700,准教授,482,2
2000-01,研究者64,エネルギー,200,助教,443,6
2000-01,研究者66,ロボティクス,700,助教,299,20
2000-02,研究者54,バイオ,500,教授,77,8
2000-02,研究者57,ロボティクス,500,講師,416,7
2000-02,研究者98,AI,700,助教,452,3
2000-02,研究者2,AI,1000,特任研究員,378,1
2000-02,研究者12,環境科学,100,准教授,331,15
2000-02,研究者76,バイオ,500,教授,422,17
2000-02,研究者7,ロボティクス,100,教授,443,13
2000-02,研究者64,AI,1000,特任研究員,269,19
2000-02,研究者9,環境科学,200,助教,264,15
2000-02,研究者25,エネルギー,200,教授,373,16
2000-02,研究者60,ロボティクス,500,講師,85,0
2000-02,研究者52,材料工学,100,講師,99,11
2000-02,研究者79,環境科学,700,特任研究員,42,4
2000-02,研究者45,ロボティクス,200,特任研究員,387,12
2000-02,研究者14,材料工学,1000,特任研究員,189,7
2000-03,研究者13,材料工学,100,助教,120,7
2000-03,研究者89,ロボティクス,500,講師,383,16
2000-03,研究者15,AI,100,講師,12,9
2000-03,研究者53,ロボティクス,500,教授,160,20
2000-03,研究者58,バイオ,1000,特任研究員,52,11
2000-03,研究者89,エネルギー,300,特任研究員,404,15
2000-03,研究者65,バイオ,500,講師,406,14
2000-03,研究者41,バイオ,200,助教,365,10
2000-03,研究者21,環境科学,100,准教授,118,10
2000-03,研究者42,エネルギー,500,准教授,104,4
2000-03,研究者62,材料工学,1000,准教授,55,11
2000-03,研究者79,材料工学,500,助教,161,12
2000-03,研究者93,環境科学,700,教授,25,14
2000-04,研究者65,エネルギー,300,講師,290,7
2000-04,研究者6,環境科学,300,准教授,148,2
2000-04,研究者75,ロボティクス,100,講師,249,8
2000-04,研究者71,AI,100,助教,469,20
2000-04,研究者83,バイオ,1000,助教,26,16
2000-04,研究者22,AI,300,特任研究員,351,17
2000-04,研究者92,エネルギー,300,教授,358,3
2000-04,研究者99,材料工学,1000,特任研究員,180,17
2000-04,研究者66,材料工学,100,准教授,359,20
2000-04,研究者16,AI,700,特任研究員,45,9
2000-04,研究者70,ロボティクス,200,助教,79,12
2000-04,研究者46,エネルギー,300,特任研究員,399,2
2000-04,研究者8,バイオ,100,講師,367,14
2000-05,研究者74,AI,500,講師,411,19
2000-05,研究者57,ロボティクス,700,助教,152,1
2000-05,研究者34,エネルギー,1000,助教,405,14
2000-05,研究者53,環境科学,100,講師,228,6
2000-05,研究者70,バイオ,700,助教,85,9
2000-05,研究者6,ロボティクス,200,特任研究員,331,17
2000-05,研究者57,エネルギー,100,助教,237,12
2000-05,研究者99,バイオ,1000,講師,23,19
2000-05,研究者26,材料工学,1000,特任研究員,214,15
2000-05,研究者72,環境科学,500,准教授,96,10
2000-05,研究者74,環境科学,300,講師,459,6
